Артикул;Категории;Имя;Описание;Высота (cm);Ширина (cm);Длина (cm);Вес (kg);Изображения;Количество;Цена;Тип валюты;Видимость в каталоге;Имя атрибута 1;Значение(-я) аттрибута(-ов) 1;Глобальный атрибут 1;Видимость атрибута 1;Имя атрибута 2;Значение(-я) аттрибута(-ов) 2;Глобальный атрибут 2;Видимость атрибута 2;Имя атрибута 3;Значение(-я) аттрибута(-ов) 3;Глобальный атрибут 3;Видимость атрибута 3;Имя атрибута 4;Значение(-я) аттрибута(-ов) 4;Глобальный атрибут 4;Видимость атрибута 4;Имя атрибута 5;Значение(-я) аттрибута(-ов) 5;Глобальный атрибут 5;Видимость атрибута 5;Имя атрибута 6;Значение(-я) аттрибута(-ов) 6;Глобальный атрибут 6;Видимость атрибута 6;Имя атрибута 7;Значение(-я) аттрибута(-ов) 7;Глобальный атрибут 7;Видимость атрибута 7;Имя атрибута 8;Значение(-я) аттрибута(-ов) 8;Глобальный атрибут 8;Видимость атрибута 8;Имя атрибута 9;Значение(-я) аттрибута(-ов) 9;Глобальный атрибут 9;Видимость атрибута 9;Имя атрибута 10;Значение(-я) аттрибута(-ов) 10;Глобальный атрибут 10;Видимость атрибута 10;Имя атрибута 11;Значение(-я) аттрибута(-ов) 11;Глобальный атрибут 11;Видимость атрибута 11;Имя атрибута 12;Значение(-я) аттрибута(-ов) 12;Глобальный атрибут 12;Видимость атрибута 12;Имя атрибута 13;Значение(-я) аттрибута(-ов) 13;Глобальный атрибут 13;Видимость атрибута 13;Имя атрибута 14;Значение(-я) аттрибута(-ов) 14;Глобальный атрибут 14;Видимость атрибута 14;Имя атрибута 15;Значение(-я) аттрибута(-ов) 15;Глобальный атрибут 15;Видимость атрибута 15;Имя атрибута 16;Значение(-я) аттрибута(-ов) 16;Глобальный атрибут 16;Видимость атрибута 16;Имя атрибута 17;Значение(-я) аттрибута(-ов) 17;Глобальный атрибут 17;Видимость атрибута 17;Имя атрибута 18;Значение(-я) аттрибута(-ов) 18;Глобальный атрибут 18;Видимость атрибута 18;Имя атрибута 19;Значение(-я) аттрибута(-ов) 19;Глобальный атрибут 19;Видимость атрибута 19;Имя атрибута 20;Значение(-я) аттрибута(-ов) 20;Глобальный атрибут 20;Видимость атрибута 20;Имя атрибута 21;Значение(-я) аттрибута(-ов) 21;Глобальный атрибут 21;Видимость атрибута 21;Имя атрибута 22;Значение(-я) аттрибута(-ов) 22;Глобальный атрибут 22;Видимость атрибута 22
;;;;;;;;;;;;;Производитель;;;;Цвет;;;;Стиль;;;;Тип монтажа;;;;Отверстия под смеситель;;;;Размеры I;;;;Тип раковины;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Управление;;;;Количество источников;;;;;;;;Размеры II;;;;Тип;;;;Стекло;;;;Вид аксессуара;;;
;;;;;;;;;;;;;Производитель;;;;Цвет;;;;Стиль;;;;Тип монтажа;;;;Отверстия под смеситель;;;;Размеры I;;;;Тип раковины;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Управление;;;;Количество источников;;;;;;;;Размеры II;;;;Тип;;;;Стекло;;;;Вид аксессуара;;;
;;;;;;;;;;;;;Производитель;;;;Цвет;;;;Стиль;;;;Тип монтажа;;;;Отверстия под смеситель;;;;Размеры I;;;;Тип раковины;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Управление;;;;Количество источников;;;;;;;;Размеры II;;;;Тип;;;;Стекло;;;;Вид аксессуара;;;
;;;;;;;;;;;;;Производитель;;;;Цвет;;;;Стиль;;;;Тип монтажа;;;;Отверстия под смеситель;;;;Размеры I;;;;Тип раковины;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Управление;;;;Количество источников;;;;;;;;Размеры II;;;;Тип;;;;Стекло;;;;Вид аксессуара;;;
;;;;;;;;;;;;;Производитель;;;;Цвет;;;;Стиль;;;;Тип монтажа;;;;Отверстия под смеситель;;;;Размеры I;;;;Тип раковины;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Управление;;;;Количество источников;;;;;;;;Размеры II;;;;Тип;;;;Стекло;;;;Вид аксессуара;;;
;;;;;;;;;;;;;Производитель;;;;Цвет;;;;Стиль;;;;Тип монтажа;;;;Отверстия под смеситель;;;;Размеры I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Управление;;;;Количество источников;;;;;;;;Размеры II;;;;Тип;;;;Стекло;;;;Вид аксессуара;;;
;;;;;;;;;;;;;Производитель;;;;Цвет;;;;Стиль;;;;Тип монтажа;;;;Отверстия под смеситель;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Управление;;;;Количество источников;;;;;;;;Размеры II;;;;Тип;;;;Стекло;;;;Вид аксессуара;;;
;;;;;;;;;;;;;Производитель;;;;Цвет;;;;Стиль;;;;Тип монтажа;;;;Отверстия под смеситель;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Управление;;;;Количество источников;;;;;;;;;;;;Тип;;;;Стекло;;;;Вид аксессуара;;;
;;;;;;;;;;;;;Производитель;;;;Цвет;;;;Стиль;;;;Тип монтажа;;;;Отверстия под смеситель;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Управление;;;;Количество источников;;;;;;;;;;;;;;;;Стекло;;;;Вид аксессуара;;;
;;;;;;;;;;;;;Производитель;;;;Цвет;;;;Стиль;;;;Тип монтажа;;;;Отверстия под смеситель;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Стекло;;;;Вид аксессуара;;;
